t_s,time_local,lat_deg,lon_deg,east_m,north_m,speed_mps,a_long_g,a_lat_g,yaw_rate_dps,a_lat_kin_g,in_gates
1859.8,2026-08-15T15:23:07.240,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.059,0.004,0,0,0
1859.84,2026-08-15T15:23:07.280,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.059,0.004,0,0,0
1859.88,2026-08-15T15:23:07.320,33.6525851,-117.3018434,56.638,-26.8153,0.0178816,-0.059,0.004,0,0,0
1859.92,2026-08-15T15:23:07.360,33.6525851,-117.3018434,56.638,-26.8153,0.0268224,-0.059,0.004,0,0,0
1859.96,2026-08-15T15:23:07.400,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.059,0.004,0,0,0
1860,2026-08-15T15:23:07.440,33.6525851,-117.3018434,56.638,-26.8153,0.0357632,-0.059,0.004,0,0,0
1860.04,2026-08-15T15:23:07.480,33.6525851,-117.3018434,56.638,-26.8153,0.022352,-0.059,0.004,0,0,0
1860.08,2026-08-15T15:23:07.520,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.058,0.004,0,0,0
1860.12,2026-08-15T15:23:07.560,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.058,0.004,0,0,0
1860.16,2026-08-15T15:23:07.600,33.6525851,-117.3018434,56.638,-26.8153,0.0044704,-0.059,0.004,0,0,0
1860.2,2026-08-15T15:23:07.640,33.6525851,-117.3018434,56.638,-26.8153,0.022352,-0.059,0.004,0,0,0
1860.24,2026-08-15T15:23:07.680,33.6525851,-117.3018434,56.638,-26.8153,0.0134112,-0.058,0.004,0,0,0
1860.28,2026-08-15T15:23:07.720,33.6525851,-117.3018434,56.638,-26.8153,0.0178816,-0.058,0.004,0,0,0
1860.32,2026-08-15T15:23:07.760,33.6525851,-117.3018434,56.638,-26.8153,0.0044704,-0.059,0.004,0,0,0
1860.36,2026-08-15T15:23:07.800,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.059,0.004,-0.01,-1.590687e-07,0
1860.4,2026-08-15T15:23:07.840,33.6525851,-117.3018434,56.638,-26.8153,0.0044704,-0.06,0.004,0,0,0
1860.44,2026-08-15T15:23:07.880,33.6525851,-117.3018434,56.638,-26.8153,0.0268224,-0.059,0.005,0,0,0
1860.48,2026-08-15T15:23:07.920,33.6525851,-117.3018434,56.638,-26.8153,0.022352,-0.059,0.005,0,0,0
1860.52,2026-08-15T15:23:07.960,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.058,0.004,0,0,0
1860.56,2026-08-15T15:23:08.000,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.057,0.004,0,0,0
1860.6,2026-08-15T15:23:08.040,33.6525851,-117.3018434,56.638,-26.8153,0,-0.057,0.004,0,0,0
1860.64,2026-08-15T15:23:08.080,33.6525851,-117.3018434,56.638,-26.8153,0.0089408,-0.058,0.004,0,0,0
1860.68,2026-08-15T15:23:08.120,33.6525851,-117.3018434,56.638,-26.8153,0.0134112,-0.058,0.004,0,0,0
1860.72,2026-08-15T15:23:08.160,33.6525852,-117.3018434,56.638,-26.8042,0.022352,-0.059,0.005,0,0,0
1860.76,2026-08-15T15:23:08.200,33.6525852,-117.3018434,56.638,-26.8042,0.022352,-0.059,0.005,0,0,0
1860.8,2026-08-15T15:23:08.240,33.6525852,-117.3018434,56.638,-26.8042,0.0134112,-0.059,0.006,0,0,0
1860.84,2026-08-15T15:23:08.280,33.6525852,-117.3018434,56.638,-26.8042,0.0402336,-0.059,0.006,0,0,0
1860.88,2026-08-15T15:23:08.320,33.6525852,-117.3018434,56.638,-26.8042,0.0134112,-0.059,0.005,0,0,0
1860.92,2026-08-15T15:23:08.360,33.6525852,-117.3018434,56.638,-26.8042,0.0178816,-0.06,0.005,0,0,0
1860.96,2026-08-15T15:23:08.400,33.6525852,-117.3018434,56.638,-26.8042,0.022352,-0.06,0.004,0,0,0
1861,2026-08-15T15:23:08.440,33.6525852,-117.3018434,56.638,-26.8042,0.0178816,-0.06,0.004,0,0,0
1861.04,2026-08-15T15:23:08.480,33.6525852,-117.3018434,56.638,-26.8042,0.0044704,-0.059,0.004,0,0,0
