t_s,time_local,lat_deg,lon_deg,east_m,north_m,speed_mps,a_long_g,a_lat_g,yaw_rate_dps,a_lat_kin_g,in_gates
2219.88,2026-08-15T15:29:07.320,33.6525845,-117.3018433,56.6472,-26.882,0.0134112,-0.058,0.004,-0.01,-2.386031e-07,0
2219.92,2026-08-15T15:29:07.360,33.6525845,-117.3018433,56.6472,-26.882,0.0134112,-0.058,0.004,-0.01,-2.386031e-07,0
2219.96,2026-08-15T15:29:07.400,33.6525845,-117.3018433,56.6472,-26.882,0.0178816,-0.058,0.005,-0.02,-6.362748e-07,0
2220,2026-08-15T15:29:07.440,33.6525845,-117.3018433,56.6472,-26.882,0.0089408,-0.058,0.005,-0.02,-3.181374e-07,0
2220.04,2026-08-15T15:29:07.480,33.6525845,-117.3018433,56.6472,-26.882,0.0089408,-0.059,0.004,-0.01,-1.590687e-07,0
2220.08,2026-08-15T15:29:07.520,33.6525845,-117.3018433,56.6472,-26.882,0.0312928,-0.059,0.004,-0.01,-5.567405e-07,0
2220.12,2026-08-15T15:29:07.560,33.6525845,-117.3018433,56.6472,-26.882,0.022352,-0.059,0.004,0,0,0
2220.16,2026-08-15T15:29:07.600,33.6525845,-117.3018433,56.6472,-26.882,0.0089408,-0.059,0.004,0,0,0
2220.2,2026-08-15T15:29:07.640,33.6525845,-117.3018433,56.6472,-26.882,0.0178816,-0.058,0.003,0,0,0
2220.24,2026-08-15T15:29:07.680,33.6525845,-117.3018433,56.6472,-26.882,0.0357632,-0.058,0.004,-0.01,-6.362748e-07,0
2220.28,2026-08-15T15:29:07.720,33.6525845,-117.3018433,56.6472,-26.882,0.0134112,-0.058,0.004,-0.01,-2.386031e-07,0
2220.32,2026-08-15T15:29:07.760,33.6525845,-117.3018433,56.6472,-26.882,0.0089408,-0.058,0.005,-0.01,-1.590687e-07,0
2220.36,2026-08-15T15:29:07.800,33.6525845,-117.3018433,56.6472,-26.882,0.0312928,-0.059,0.005,-0.01,-5.567405e-07,0
2220.4,2026-08-15T15:29:07.840,33.6525845,-117.3018433,56.6472,-26.882,0.0044704,-0.059,0.005,-0.01,-7.953435e-08,0
2220.44,2026-08-15T15:29:07.880,33.6525845,-117.3018433,56.6472,-26.882,0.0178816,-0.059,0.005,0,0,0
2220.48,2026-08-15T15:29:07.920,33.6525846,-117.3018433,56.6472,-26.8709,0.0268224,-0.058,0.004,0,0,0
2220.52,2026-08-15T15:29:07.960,33.6525846,-117.3018433,56.6472,-26.8709,0.0044704,-0.058,0.004,-0.01,-7.953435e-08,0
2220.56,2026-08-15T15:29:08.000,33.6525846,-117.3018433,56.6472,-26.8709,0.022352,-0.058,0.004,-0.02,-7.953435e-07,0
2220.6,2026-08-15T15:29:08.040,33.6525846,-117.3018433,56.6472,-26.8709,0.0044704,-0.058,0.005,-0.03,-2.386031e-07,0
2220.64,2026-08-15T15:29:08.080,33.6525846,-117.3018433,56.6472,-26.8709,0.022352,-0.058,0.005,-0.03,-1.193015e-06,0
2220.68,2026-08-15T15:29:08.120,33.6525846,-117.3018433,56.6472,-26.8709,0.0044704,-0.058,0.005,-0.03,-2.386031e-07,0
2220.72,2026-08-15T15:29:08.160,33.6525846,-117.3018433,56.6472,-26.8709,0.0089408,-0.058,0.006,-0.02,-3.181374e-07,0
2220.76,2026-08-15T15:29:08.200,33.6525846,-117.3018433,56.6472,-26.8709,0.0089408,-0.059,0.006,-0.01,-1.590687e-07,0
2220.8,2026-08-15T15:29:08.240,33.6525846,-117.3018433,56.6472,-26.8709,0.0044704,-0.06,0.006,-0.01,-7.953435e-08,0
2220.84,2026-08-15T15:29:08.280,33.6525846,-117.3018433,56.6472,-26.8709,0.0178816,-0.061,0.006,-0.02,-6.362748e-07,0
2220.88,2026-08-15T15:29:08.320,33.6525847,-117.3018433,56.6472,-26.8598,0.0268224,-0.06,0.005,-0.02,-9.544122e-07,0
2220.92,2026-08-15T15:29:08.360,33.6525847,-117.3018433,56.6472,-26.8598,0.0089408,-0.059,0.005,-0.02,-3.181374e-07,0
2220.96,2026-08-15T15:29:08.400,33.6525847,-117.3018433,56.6472,-26.8598,0.0312928,-0.057,0.006,-0.01,-5.567405e-07,0
2221,2026-08-15T15:29:08.440,33.6525847,-117.3018433,56.6472,-26.8598,0.0089408,-0.056,0.006,-0.01,-1.590687e-07,0
2221.04,2026-08-15T15:29:08.480,33.6525847,-117.3018432,56.6565,-26.8598,0.0178816,-0.055,0.006,-0.01,-3.181374e-07,0
2221.08,2026-08-15T15:29:08.520,33.6525847,-117.3018432,56.6565,-26.8598,0.0312928,-0.056,0.006,-0.02,-1.113481e-06,0
