t_s,time_local,lat_deg,lon_deg,east_m,north_m,speed_mps,a_long_g,a_lat_g,yaw_rate_dps,a_lat_kin_g,in_gates
1002.48,2026-08-15T15:08:49.920,33.6525792,-117.3018422,56.749,-27.4713,0.0134112,-0.059,0.005,-0.01,-2.386031e-07,0
1002.52,2026-08-15T15:08:49.960,33.6525792,-117.3018422,56.749,-27.4713,0.022352,-0.059,0.005,-0.01,-3.976718e-07,0
1002.56,2026-08-15T15:08:50.000,33.6525792,-117.3018422,56.749,-27.4713,0.0134112,-0.059,0.005,-0.02,-4.772061e-07,0
1002.6,2026-08-15T15:08:50.040,33.6525792,-117.3018422,56.749,-27.4713,0.022352,-0.059,0.005,-0.02,-7.953435e-07,0
1002.64,2026-08-15T15:08:50.080,33.6525792,-117.3018422,56.749,-27.4713,0.0089408,-0.059,0.005,-0.02,-3.181374e-07,0
1002.68,2026-08-15T15:08:50.120,33.6525791,-117.3018422,56.749,-27.4825,0.0357632,-0.059,0.005,-0.02,-1.272550e-06,0
1002.72,2026-08-15T15:08:50.160,33.6525791,-117.3018422,56.749,-27.4825,0.0491744,-0.06,0.004,-0.02,-1.749756e-06,0
1002.76,2026-08-15T15:08:50.200,33.6525792,-117.3018422,56.749,-27.4713,0.0134112,-0.06,0.004,-0.02,-4.772061e-07,0
1002.8,2026-08-15T15:08:50.240,33.6525792,-117.3018422,56.749,-27.4713,0.0134112,-0.06,0.004,-0.02,-4.772061e-07,0
1002.84,2026-08-15T15:08:50.280,33.6525792,-117.3018422,56.749,-27.4713,0.0044704,-0.06,0.004,-0.03,-2.386031e-07,0
1002.88,2026-08-15T15:08:50.320,33.6525792,-117.3018422,56.749,-27.4713,0.022352,-0.059,0.004,-0.03,-1.193015e-06,0
1002.92,2026-08-15T15:08:50.360,33.6525792,-117.3018422,56.749,-27.4713,0.0178816,-0.058,0.005,-0.03,-9.544122e-07,0
1002.96,2026-08-15T15:08:50.400,33.6525792,-117.3018422,56.749,-27.4713,0.0089408,-0.058,0.005,-0.02,-3.181374e-07,0
1003,2026-08-15T15:08:50.440,33.6525792,-117.3018422,56.749,-27.4713,0.0044704,-0.059,0.005,-0.02,-1.590687e-07,0
1003.04,2026-08-15T15:08:50.480,33.6525792,-117.3018422,56.749,-27.4713,0.0044704,-0.059,0.006,-0.02,-1.590687e-07,0
1003.08,2026-08-15T15:08:50.520,33.6525792,-117.3018422,56.749,-27.4713,0.0134112,-0.06,0.005,-0.01,-2.386031e-07,0
1003.12,2026-08-15T15:08:50.560,33.6525792,-117.3018422,56.749,-27.4713,0.022352,-0.06,0.005,-0.01,-3.976718e-07,0
1003.16,2026-08-15T15:08:50.600,33.6525792,-117.3018422,56.749,-27.4713,0.022352,-0.06,0.004,-0.02,-7.953435e-07,0
1003.2,2026-08-15T15:08:50.640,33.6525792,-117.3018422,56.749,-27.4713,0.0089408,-0.059,0.004,-0.02,-3.181374e-07,0
