gate,lat_deg,lon_deg,east_m,north_m,course_dir_east,course_dir_north,calibration_shift_m,half_width_m
start,33.6525529,-117.3018635,54.7778,-30.3961,-0.569266,-0.822154,2,12
finish,33.6527783,-117.3035996,-105.912,-5.33708,0.997293,-0.0735253,-23,12
