t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
588.055,0.00244141,0.00439453,0.999023,0,0,0,0
588.065,0.00146484,0.0131836,1,0,0,0,0
588.075,0.00439453,-0.0146484,0.995605,0,0,0,0
588.085,0.00732422,0.0131836,0.995605,0,0,0,0
588.095,0.00244141,-0.0102539,1.00244,0,0,0,0
588.105,9.765625e-04,0.00878906,1.00146,0,0,0,0
588.11,-9.765625e-04,0.00537109,1.00342,0,0,0,0
588.12,0.00390625,-0.00585938,1.00049,0,0,0,0
588.13,0.00585938,0.00732422,0.994629,0,0,0,0
588.14,0.00585938,-0.0131836,0.996582,0,0,0,0
588.15,0.00537109,0.00732422,1.00049,0,0,0,0
588.16,0.00195312,9.765625e-04,0.999512,0,0,0,0
588.17,0.00390625,0.00341797,0.99707,0,0,0,0
588.18,0.00244141,-4.882812e-04,1.00244,0,0,0,0
588.19,0.00537109,-0.00683594,0.995605,0,0,0,0
588.2,0.0078125,0.0112305,0.997559,0,0,0,0
588.21,0.00244141,-0.0112305,0.995117,0,0,0,0
588.22,0.00146484,0.00830078,0.996094,0,0,0,0
588.23,4.882812e-04,0,1.00342,0,0,0,0
588.24,0.00585938,0,0.998535,0,0,0,0
588.25,0.00146484,0.00683594,1.00391,0,0,0,0
588.26,0.00244141,-0.012207,1.00098,0,0,0,0
588.265,0.00439453,0.015625,0.992188,0,0,0,0
588.275,-0.00195312,-0.0131836,1.00098,0,0,0,0
588.285,0.00390625,0.00634766,0.999023,0,0,0,0
588.295,0.00585938,0.0107422,1.00293,0,0,0,0
588.305,0.0078125,-0.0117188,0.998535,0,0,0,0
588.315,0.00732422,0.0131836,0.99707,0,0,0,0
588.325,0.00390625,-0.0170898,0.999023,0,0,0,0
588.335,0.00537109,0.012207,0.997559,0,0,0,0
588.345,0.00341797,0.00537109,0.999023,0,0,0,0
588.355,0.00634766,-0.00927734,0.99707,0,0,0,0
588.365,0.00292969,0.0131836,0.999023,0,0,0,0
588.375,0.00390625,-0.0102539,1,0,0,0,0
588.385,0.00488281,0.0102539,0.998047,0,0,0,0
588.395,4.882812e-04,-0.00390625,1.00098,0,0,0,0
588.405,0.00341797,0.00244141,0.999023,0,0,0,0
588.415,9.765625e-04,0.00439453,0.998047,0,0,0,0
588.425,0.00390625,-0.0117188,0.998047,0,0,0,0
588.435,0.0078125,0.015625,1.00098,0,0,0,0
