t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
1002.45,0.00927734,-0.0117188,0.99707,0,0,0,0
1002.46,0.0112305,0.00585938,0.991699,0,0,0,0
1002.47,0.00292969,-0.00683594,1.00049,0,0,0,0
1002.48,0.00195312,0.00634766,1.00195,0,0,0,0
1002.49,0,0.00683594,1.00781,0,0,0,0
1002.5,0.00585938,-0.00439453,0.997559,0,0,0,0
1002.51,0.0117188,0.0107422,0.993652,0,0,0,0
1002.52,0.0102539,-0.0195312,0.996094,0,0,0,0
1002.53,0.00585938,0.00976562,0.99707,0,0,0,0
1002.54,0,0.00732422,1.00293,0,0,0,0
1002.55,0.00341797,-0.00585938,1.00195,0,0,0,0
1002.56,0.00439453,0.0141602,0.999512,0,0,0,0
1002.57,0.00585938,-0.0151367,0.996094,0,0,0,0
1002.57,0.00976562,0.00732422,0.995605,0,0,0,0
1002.58,4.882812e-04,0,1.00146,0,0,0,0
1002.59,0,-0.00146484,1.00195,0,0,0,0
1002.6,-0.00341797,0.0102539,1.00146,0,0,0,0
1002.61,0.00488281,-0.0102539,1.00049,0,0,0,0
1002.62,0.0112305,0.00732422,0.995605,0,0,0,0
1002.63,0.00537109,-0.00927734,0.996582,0,0,0,0
1002.64,0.00439453,0.00341797,0.999023,0,0,0,0
1002.65,0,0.00439453,1.00488,0,0,0,0
1002.66,0.00195312,-0.00488281,1.00049,0,0,0,0
1002.67,0.00537109,0.0131836,1.00049,0,0,0,0
1002.68,0.0078125,-0.0117188,0.994141,0,0,0,0
1002.69,0.00878906,0.00195312,0.994141,0,0,0,0
1002.7,4.882812e-04,-0.00244141,1.00293,0,0,0,0
1002.71,4.882812e-04,0.00244141,1,0,0,0,0
1002.72,0,0.0126953,1.00439,0,0,0,0
1002.73,0.00537109,-0.0078125,1.00244,0,0,0,0
1002.74,0.00830078,0.00439453,0.993652,0,0,0,0
1002.75,0.00927734,-0.0102539,0.993652,0,0,0,0
1002.76,0.00585938,0.00488281,1,0,0,0,0
1002.77,0,0.00439453,1.00537,0,0,0,0
1002.78,0.00146484,0.00341797,1,0,0,0,0
1002.79,0.00585938,0.00732422,1.00244,0,0,0,0
1002.8,0.012207,-0.0170898,0.997559,0,0,0,0
1002.81,0.00976562,0.0102539,0.993652,0,0,0,0
1002.82,0.00195312,-0.00585938,0.996582,0,0,0,0
1002.83,0.00195312,0.00292969,1.00098,0,0,0,0
1002.84,0,0.0112305,1.00342,0,0,0,0
1002.85,0.00439453,-0.00878906,0.998535,0,0,0,0
1002.86,0.00732422,0.012207,1.00146,0,0,0,0
1002.87,0.00488281,-0.0126953,0.997559,0,0,0,0
1002.88,0.00439453,0.00585938,0.992676,0,0,0,0
1002.89,-0.00195312,0,1.00488,0,0,0,0
1002.9,0.00439453,-0.00146484,1.00049,0,0,0,0
1002.91,0.00732422,0.015625,1.00146,0,0,0,0
1002.92,0.00927734,-0.0141602,0.99707,0,0,0,0
1002.93,0.0112305,0.00878906,0.991211,0,0,0,0
1002.94,0.00488281,-0.0102539,0.999023,0,0,0,0
1002.95,0.00292969,0,0.998047,0,0,0,0
1002.96,-9.765625e-04,0.0146484,1.00439,0,0,0,0
1002.96,0.00292969,-0.00830078,1.00195,0,0,0,0
1002.97,0.00585938,0.00927734,0.994141,0,0,0,0
1002.98,0.00195312,-0.012207,0.999512,0,0,0,0
1002.99,0.0078125,0.00488281,0.995605,0,0,0,0
1003,0,0.00292969,1.00391,0,0,0,0
1003.01,-4.882812e-04,-0.00390625,1.00439,0,0,0,0
1003.02,0.00244141,0.00976562,1.00049,0,0,0,0
1003.03,0.00830078,-0.0102539,0.996094,0,0,0,0
1003.04,0.012207,0.00683594,0.995117,0,0,0,0
1003.05,0.00878906,-0.00732422,0.995605,0,0,0,0
1003.06,0.00634766,0.00292969,0.995605,0,0,0,0
1003.07,0.00195312,0.00195312,1.00635,0,0,0,0
1003.08,0.00341797,-0.00195312,1.00195,0,0,0,0
1003.09,0.00488281,0.0141602,0.995605,0,0,0,0
1003.1,0.0078125,-0.00976562,0.993164,0,0,0,0
1003.11,0.0112305,0.00585938,0.990723,0,0,0,0
1003.12,0.00195312,-0.0078125,1.00293,0,0,0,0
1003.13,0,0.0078125,1.00244,0,0,0,0
1003.14,4.882812e-04,0.0112305,1.00781,0,0,0,0
1003.15,0.0078125,-0.0107422,0.99707,0,0,0,0
1003.16,0.0126953,0.0102539,0.989258,0,0,0,0
1003.17,0.00830078,-0.0180664,0.997559,0,0,0,0
1003.18,0.00830078,0.00830078,0.996582,0,0,0,0
1003.19,0,0.00878906,1.00781,0,0,0,0
1003.2,9.765625e-04,-0.00585938,1.00488,0,0,0,0
1003.21,0.00683594,0.015625,0.996582,0,0,0,0
1003.22,0.00878906,-0.0200195,0.999023,0,0,0,0
1003.23,0.00976562,0.00488281,0.99707,0,0,0,0
1003.24,0.00195312,9.765625e-04,0.998535,0,0,0,0
1003.25,-4.882812e-04,-4.882812e-04,1.00049,0,0,0,0
1003.26,-0.00244141,0.00927734,1.00732,0,0,0,0
1003.26,0.00537109,-0.00683594,0.998047,0,0,0,0
1003.27,0.0107422,0.00976562,0.99707,0,0,0,0
1003.28,0.00732422,-0.012207,0.999023,0,0,0,0
1003.29,0.00683594,0.00390625,0.994629,0,0,0,0
1003.3,0,0.00146484,0.999023,0,0,0,0
1003.31,0.00195312,-0.00292969,1.00146,0,0,0,0
1003.32,0.00634766,0.0107422,1.00391,0,0,0,0
1003.33,0.0102539,-0.00830078,0.994629,0,0,0,0
1003.34,0.00878906,0.00292969,0.996094,0,0,0,0
1003.35,0.00244141,-0.0141602,0.999512,0,0,0,0
1003.36,0.00244141,0.00976562,0.99707,0,0,0,0
1003.37,-0.00292969,0.00292969,1.00244,0,0,0,0
1003.38,-0.00195312,-0.00146484,1.00195,0,0,0,0
1003.39,0.00292969,0.00976562,0.998535,0,0,0,0
1003.4,0.00732422,-0.0146484,0.993164,0,0,0,0
1003.41,0.00878906,0.0117188,0.991699,0,0,0,0
1003.42,0.00292969,-0.00634766,0.992676,0,0,0,0
1003.43,0.0102539,0.00390625,0.997559,0,0,0,0
1003.44,0.00732422,0.00585938,0.999512,0,0,0,0
1003.45,0.00830078,0,0.99707,0,0,0,0
1003.46,0.00488281,0,1.01074,0,0,0,0
1003.47,0.00927734,0.00488281,0.997559,0,0,0,0
1003.48,0.0107422,4.882812e-04,0.999023,0,0,0,0
1003.49,0.0107422,-0.00195312,1.00195,0,0,0,0
1003.5,0.0107422,0.00830078,1.00928,0,0,0,0
1003.51,0.00683594,-0.00292969,0.996582,0,0,0,0
1003.52,0.00732422,-0.00537109,1.00928,0,0,0,0
1003.53,9.765625e-04,0.00878906,0.99707,0,0,0,0
1003.54,0.00439453,-0.0126953,1.0083,0,0,0,0
1003.55,9.765625e-04,0,0.986816,0,0,0,0
1003.56,4.882812e-04,0.00146484,1.00586,0,0,0,0
1003.57,-0.00146484,0.00146484,0.994141,0,0,0,0
1003.58,0.00683594,0.00732422,0.990723,0,0,0,0
1003.59,0.0078125,0,1.00488,0,0,0,0
1003.6,0.00585938,0,0.98584,0,0,0,0
1003.61,0.00634766,0.00488281,1.00879,0,0,0,0
1003.62,0.00439453,9.765625e-04,0.995117,0,0,0,0
1003.62,-0.00585938,0.00634766,0.996094,0,0,0,0
1003.63,0.00732422,0.00195312,1.00781,0,0,0,0
1003.64,0.0126953,-0.00927734,0.987793,0,0,0,0
1003.65,4.882812e-04,-9.765625e-04,0.986816,0,0,0,0
1003.66,4.882812e-04,-0.00439453,1.01074,0,0,0,0
1003.67,0.0102539,0.00927734,1.00342,0,0,0,0
1003.68,0.0117188,0.00634766,0.995605,0,0,0,0
1003.69,0.00390625,-0.00878906,0.98584,0,0,0,0
1003.7,-4.882812e-04,-0.00195312,1.00098,0,0,0,0
1003.71,-0.00292969,0.00683594,1.00928,0,0,0,0
1003.72,4.882812e-04,0.012207,1.01611,0,0,0,0
1003.73,0.0131836,-0.0146484,1.00098,0,0,0,0
1003.74,0.0258789,-0.0151367,0.983398,0,0,0,0
1003.75,0.0234375,-0.00488281,0.987793,0,0,0,0
1003.76,0.0117188,-4.882812e-04,0.99707,0,0,0,0
1003.77,0.0117188,0.0131836,1.00293,0,0,0,0
1003.78,0.0126953,-0.00146484,1,0,0,0,0
1003.79,0.012207,0.00537109,1.00195,0,0,0,0
1003.8,0.0112305,-0.00585938,0.996582,0,0,0,0
1003.81,0.00927734,-0.00195312,1.00098,0,0,0,0
1003.82,4.882812e-04,0.00878906,0.998047,0,0,0,0
1003.83,0.00439453,-0.00439453,0.993164,0,0,0,0
1003.84,0.00488281,0.00830078,1.00146,0,0,0,0
1003.85,0.0112305,0.00244141,1.00586,0,0,0,0
1003.86,0.0102539,-0.00585938,0.997559,0,0,0,0
1003.87,0.0078125,0.00488281,1.00635,0,0,0,0
1003.88,0.0131836,-0.00537109,0.990723,0,0,0,0
1003.89,0.0126953,-0.00537109,0.99707,0,0,0,0
1003.9,0.00634766,0.00830078,0.98584,0,0,0,0
1003.91,0.0102539,0.00195312,0.996094,0,0,0,0
1003.92,0.00390625,0.00634766,1.01025,0,0,0,0
1003.92,0,0.00732422,0.992676,0,0,0,0
1003.93,4.882812e-04,0.00244141,0.987793,0,0,0,0
1003.94,-0.00292969,-0.00195312,1.00049,0,0,0,0
1003.95,4.882812e-04,0,1.00537,0,0,0,0
1003.96,-0.00244141,0.0136719,0.991211,0,0,0,0
1003.97,-0.0078125,-0.00537109,0.990234,0,0,0,0
1003.98,-0.00439453,-0.00146484,1.00342,0,0,0,0
1003.99,4.882812e-04,0.0141602,1.00537,0,0,0,0
1004,-0.00341797,0.00927734,0.99707,0,0,0,0
1004.01,-0.00732422,-0.0078125,0.999023,0,0,0,0
1004.02,0.00244141,-0.00683594,0.984863,0,0,0,0
1004.03,0.00292969,0.00878906,0.993164,0,0,0,0
1004.04,-0.00292969,0.00146484,1.01367,0,0,0,0
1004.05,-0.00292969,0.00830078,1.00879,0,0,0,0
1004.06,4.882812e-04,-0.00195312,1.00293,0,0,0,0
1004.07,0.00146484,-0.00585938,1.00293,0,0,0,0
1004.08,0.00634766,0.00537109,1.00049,0,0,0,0
1004.09,0.00830078,-0.00390625,0.996582,0,0,0,0
1004.1,0.0078125,-0.00585938,0.998535,0,0,0,0
1004.11,0.0102539,0.00585938,1.00293,0,0,0,0
1004.12,0.00976562,0.00488281,1.00439,0,0,0,0
1004.13,0.0141602,-0.00439453,0.998047,0,0,0,0
1004.14,0.0151367,-0.00390625,0.995117,0,0,0,0
1004.15,0.0102539,0.00195312,0.995605,0,0,0,0
1004.16,0.0136719,0.00146484,0.995605,0,0,0,0
1004.17,0.0170898,4.882812e-04,0.996582,0,0,0,0
1004.18,0.0126953,0.00146484,0.999023,0,0,0,0
1004.19,0.0117188,-4.882812e-04,0.998535,0,0,0,0
1004.2,0.0078125,0,1.00098,0,0,0,0
1004.21,0.0141602,4.882812e-04,0.996582,0,0,0,0
1004.21,0.00683594,-0.00878906,0.998047,0,0,0,0
1004.22,0.00878906,0.00732422,0.997559,0,0,0,0
1004.23,0.00732422,0.00439453,0.994141,0,0,0,0
1004.24,0.00390625,4.882812e-04,1.00635,0,0,0,0
1004.25,0.00195312,0.0136719,1.00293,0,0,0,0
1004.26,0.00146484,0,1.00146,0,0,0,0
