t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2220.78,0.00488281,-9.765625e-04,0.996094,0,0,0,0
2220.79,0,-9.765625e-04,1.02246,-0.244141,-0.305176,0,0
2220.8,0.0126953,0.00830078,0.993164,-0.183105,0,0,0
2220.81,0.00976562,-0.00537109,0.991211,0.12207,0.183105,0,0
2220.82,0,-0.0126953,0.998535,0,-0.183105,0,0
2220.83,-4.882812e-04,-0.00244141,1.00732,0,-0.366211,0,0
2220.84,0.00390625,0.0253906,1.00781,0.0610352,0.0610352,0,0
2220.85,0.0141602,-0.0161133,1.00488,-0.12207,0.183105,0,0
2220.86,0.0234375,-0.0112305,0.982422,0.183105,-0.183105,0,0
2220.87,0.0258789,-0.00390625,0.98291,0,-0.12207,0,0
2220.88,0.012207,-0.0141602,1,0.12207,-0.183105,0,0
2220.89,-0.00195312,0.0214844,1.00781,0,-0.183105,0,0
2220.9,-0.00341797,-0.00732422,1.00635,0,-0.0610352,0,0
2220.91,4.882812e-04,0.0117188,1.00098,0.12207,-0.0610352,0,0
2220.91,0.00439453,-4.882812e-04,0.994629,-0.0610352,0.0610352,0,0
2220.92,0.0136719,-0.012207,0.996094,0.12207,-0.0610352,0,0
2220.93,0.0107422,0.0141602,0.990723,0,0,0,0
2220.94,0.0141602,-0.0131836,0.996582,0,0,0,0
2220.95,0.00488281,0.00537109,0.996582,0.183105,-0.0610352,0,0
2220.96,0.00244141,0.00976562,1.00732,0,-0.12207,0,0
2220.97,0.00585938,-0.00292969,1.00195,0,-0.0610352,0,0
2220.98,0.0078125,9.765625e-04,0.994629,0.12207,0,0,0
2220.99,0.0107422,-0.00195312,0.994141,0,0,0,0
2221,0.00976562,-0.00634766,0.998535,0,-0.12207,0,0
2221.01,0.0131836,0.0131836,0.990234,0.12207,0,0,0
2221.02,0.0126953,9.765625e-04,1.00684,-0.183105,0,0,0
2221.03,0.0078125,-0.00927734,0.999023,0.0610352,-0.244141,0,0
2221.04,0.0112305,0.0219727,0.985352,0.12207,0,0,0
2221.05,0.0117188,-0.0136719,1.00684,0,-0.12207,0,0
2221.06,0.00146484,0.00146484,1.01221,0.0610352,-0.305176,0,0
2221.07,0.00292969,0.0209961,0.990234,0,0,0,0
2221.08,0.00439453,-0.0151367,0.990234,0.12207,0.0610352,0,0
2221.09,0.00341797,0.00683594,1.00879,0,-0.244141,0,0
2221.1,0,0.0107422,1.00488,-0.12207,-0.183105,0,0
2221.11,-0.00488281,0.0078125,0.996094,0.183105,0.0610352,0,0
2221.12,-0.00390625,-0.00683594,1.00049,0,0,0,0
2221.13,0.00146484,-0.00244141,0.993652,-0.0610352,-0.183105,0,0
2221.14,9.765625e-04,0.00732422,1.00342,0,0,0,0
2221.15,-0.00439453,0.00634766,1.01172,-0.0610352,0,0,0
2221.16,-0.00292969,0,0.997559,0,0,0,0
2221.17,-4.882812e-04,9.765625e-04,0.996094,0,0,0,0
2221.18,0.00292969,0.00488281,0.997559,-0.0610352,0,0,0
2221.19,0.0078125,-0.00537109,0.992188,0,0,0,0
2221.2,0.00488281,0.00341797,0.99707,0,-0.12207,0,0
2221.2,0.00146484,-0.00244141,0.99707,-0.12207,-0.12207,0,0
2221.21,0.00390625,0.00195312,1.00293,0,-0.12207,0,0
2221.22,0.00341797,0.00732422,1.00244,-0.0610352,0,0,0
2221.23,0.00390625,-0.00927734,0.99707,0,0,0,0
2221.24,4.882812e-04,0.00341797,1.00342,0.12207,-0.183105,0,0
2221.25,0.0078125,0.00830078,1.00586,0,-0.12207,0,0
2221.26,0.00732422,9.765625e-04,0.999023,0,0,0,0
2221.27,0.00195312,0,1.00635,0,-0.0610352,0,0
2221.28,0.00488281,4.882812e-04,1.00537,0,-0.244141,0,0
2221.29,0.00732422,0.00195312,0.998047,0,-0.0610352,0,0
2221.3,0.0117188,-9.765625e-04,1.00195,0,-0.12207,0,0
2221.31,0.00537109,0.00390625,1.00195,0,-0.12207,0,0
2221.32,0.00634766,0.00195312,0.995117,0,-0.0610352,0,0
2221.33,0.0151367,0.00732422,0.998535,0,-0.12207,0,0
2221.34,0.00732422,0,1,-0.183105,-0.12207,0,0
2221.35,0.0136719,0.00292969,0.994141,-0.0610352,-0.12207,0,0
2221.36,0.0166016,0.00683594,1.00146,-0.12207,0,0,0
2221.37,0.019043,-0.00146484,0.995117,-0.12207,0,0,0
2221.38,0.0117188,0.00146484,0.993652,0,0,0,0
2221.39,0.00390625,0.0117188,1.00391,0,0,0,0
2221.4,0.00341797,0.00585938,0.994629,-0.0610352,0,0,0
2221.41,0,0.00732422,0.997559,-0.0610352,0,0,0
2221.42,0.00292969,0.00195312,0.998047,-0.12207,-0.12207,0,0
2221.43,0.0117188,0.00146484,0.995605,-0.12207,-0.183105,0,0
2221.44,0.0126953,-0.00830078,0.995117,-0.12207,0,0,0
2221.45,0.00878906,-0.0078125,0.995605,-0.0610352,0,0,0
2221.46,0.00439453,0.00146484,0.997559,-0.0610352,0,0,0
2221.47,0.00195312,0.00537109,1,-0.0610352,0,0,0
2221.48,-4.882812e-04,-4.882812e-04,0.997559,-0.0610352,0,0,0
2221.49,0,0.00146484,0.999023,-0.12207,-0.183105,0,0
2221.5,0.00585938,-0.0078125,0.999512,-0.12207,-0.0610352,0,0
2221.5,0.0102539,-0.00585938,0.999512,0.0610352,0,0,0
2221.51,4.882812e-04,-0.00634766,1.00586,-0.0610352,0.0610352,0,0
2221.52,0,-0.0078125,0.99707,0,0,0,0
2221.53,-9.765625e-04,0.0141602,1.00488,0,0,0,0
2221.54,0,-0.00585938,1.00195,-0.183105,-0.12207,0,0
2221.55,0.00488281,-0.00341797,1.00098,0,-0.244141,0,0
2221.56,0.00732422,0.00146484,0.997559,0.0610352,-0.12207,0,0
2221.57,0.0102539,-0.00585938,1.00488,0,0,0,0
2221.58,0.00439453,-0.00146484,0.992676,0.12207,0,0,0
2221.59,0,0.00341797,1.00146,0.12207,-0.0610352,0,0
2221.6,-9.765625e-04,-4.882812e-04,1.00146,0,-0.12207,0,0
2221.61,0.00537109,0.00537109,0.999512,0.0610352,-0.183105,0,0
2221.62,0.00927734,0.00146484,1.00146,-0.0610352,-0.0610352,0,0
2221.63,0.0112305,-0.00878906,0.994629,0.0610352,-0.0610352,0,0
2221.64,0.00488281,0.00878906,1.00195,0.12207,0,0,0
