run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
1,Normal,609.215,-0.72737,-4.11885
1,Normal,609.255,-0.728087,-4.64324
1,Normal,609.295,-0.733032,-4.35964
1,Normal,609.335,-0.738621,-3.70991
1,Normal,609.375,-0.738177,-3.46339
1,Normal,613.615,0.872948,0.468848
1,Normal,613.815,0.800805,5.21784
1,Normal,613.855,0.79245,5.22342
1,Normal,613.895,0.789429,4.33641
1,Normal,613.935,0.791939,3.33363
1,Normal,613.975,0.795837,2.97446
1,Normal,614.015,0.798444,3.17638
1,Normal,614.055,0.793863,4.46344
1,Normal,615.615,-0.710089,-4.92182
1,Normal,615.655,-0.698986,-4.83493
1,Normal,615.695,-0.688239,-5.24328
1,Normal,615.735,-0.677044,-5.95624
1,Normal,615.775,-0.667657,-6.38648
1,Normal,615.815,-0.660527,-6.40093
1,Normal,615.855,-0.655702,-6.0614
1,Normal,615.895,-0.655638,-5.33448
1,Normal,615.935,-0.661196,-4.23539
1,Normal,616.095,-0.711413,0.102236
1,Normal,616.135,-0.717285,-0.134562
1,Normal,616.175,-0.713522,-1.23109
1,Normal,616.335,-0.655478,-2.96573
1,Normal,616.615,-0.809789,1.07604
1,Normal,616.655,-0.817933,0.711981
1,Normal,616.695,-0.818033,-0.0344282
1,Normal,616.735,-0.811925,-1.20078
1,Normal,616.775,-0.803124,-2.3853
1,Normal,616.815,-0.794983,-3.33867
1,Normal,616.855,-0.786144,-4.08125
1,Normal,616.895,-0.775112,-4.59852
1,Normal,616.935,-0.764181,-4.7592
1,Normal,617.095,-0.711511,-3.35818
1,Normal,617.135,-0.70222,-3.7116
1,Normal,617.175,-0.695931,-4.22256
1,Normal,617.215,-0.691377,-4.86306
1,Normal,617.255,-0.687529,-5.19059
1,Normal,617.295,-0.684128,-4.86228
1,Normal,617.335,-0.682705,-4.11318
1,Normal,617.375,-0.684076,-3.45465
1,Normal,617.415,-0.688517,-2.86368
1,Normal,617.455,-0.696749,-2.18437
1,Normal,617.495,-0.706339,-1.39843
1,Normal,617.535,-0.716594,-0.359538
1,Normal,617.575,-0.727555,0.877205
1,Normal,617.615,-0.737052,1.67158
1,Normal,617.655,-0.74523,1.63845
1,Normal,617.695,-0.751129,0.837307
1,Normal,617.735,-0.75098,-0.861627
1,Normal,618.095,-0.494622,-3.76042
1,Normal,618.375,-0.775673,-0.67152
1,Normal,618.415,-0.773413,-2.04627
1,Normal,618.455,-0.767043,-2.02363
1,Normal,618.495,-0.766019,-0.635422
1,Normal,618.535,-0.773137,0.982111
1,Normal,618.615,-0.798395,1.26757
1,Normal,618.655,-0.807388,-0.480432
1,Normal,618.695,-0.808517,-2.56398
1,Normal,618.735,-0.803846,-4.07709
1,Normal,618.775,-0.796765,-4.74747
1,Normal,618.815,-0.787555,-4.93817
1,Normal,618.855,-0.779425,-4.49425
1,Normal,618.895,-0.774045,-3.73538
1,Normal,618.935,-0.776549,-2.64666
1,Normal,619.095,-0.841893,0.873782
1,Normal,619.135,-0.844028,-0.887618
1,Normal,619.415,-0.72289,-6.02934
1,Normal,619.455,-0.715602,-6.225
1,Normal,619.495,-0.717424,-5.96297
1,Normal,619.855,-0.859653,1.66972
1,Normal,619.895,-0.869711,1.12157
1,Normal,619.935,-0.876519,0.487581
1,Normal,619.975,-0.879492,-0.172746
1,Normal,620.015,-0.877277,-0.901099
1,Normal,620.055,-0.871717,-1.5059
1,Normal,620.095,-0.861828,-1.96489
1,Normal,620.135,-0.84992,-2.31765
1,Normal,620.175,-0.838988,-2.60754
1,Normal,620.215,-0.829701,-2.93198
1,Normal,620.255,-0.821073,-3.38352
1,Normal,620.295,-0.812616,-4.19057
1,Normal,620.335,-0.803574,-5.21708
1,Normal,620.375,-0.794818,-6.01223
1,Normal,620.415,-0.787097,-6.52615
1,Normal,620.455,-0.778798,-6.82954
1,Normal,620.495,-0.772534,-6.85914
1,Normal,620.535,-0.76843,-7.02273
1,Normal,620.575,-0.767916,-6.98764
1,Normal,620.615,-0.770646,-6.50873
1,Normal,620.655,-0.776003,-5.6934
1,Normal,620.695,-0.783781,-4.71757
1,Normal,620.735,-0.791958,-3.67636
1,Normal,620.775,-0.801001,-3.02238
1,Normal,620.815,-0.807657,-2.8632
1,Normal,620.855,-0.810232,-3.09519
1,Normal,620.895,-0.81063,-3.30856
1,Normal,620.935,-0.808491,-3.31628
1,Normal,620.975,-0.804652,-3.00605
1,Normal,621.015,-0.802588,-2.53011
1,Normal,621.055,-0.799405,-2.73451
1,Normal,621.095,-0.793671,-3.82238
1,Normal,621.455,-0.503899,-9.45026
1,Normal,622.135,-0.690338,-5.16554
1,Normal,622.175,-0.683945,-4.99487
1,Normal,622.215,-0.683382,-4.8913
1,Normal,622.255,-0.686143,-4.82616
1,Normal,622.295,-0.688838,-4.55691
1,Normal,622.335,-0.686705,-4.1274
1,Normal,623.255,-0.575838,-4.04853
1,Normal,623.815,-0.881134,-0.565546
1,Normal,623.855,-0.883413,-0.570565
1,Normal,623.895,-0.883813,-0.232663
1,Normal,623.935,-0.881721,-0.331227
1,Normal,623.975,-0.874199,-1.09902
1,Normal,624.255,-0.728551,-9.12796
1,Normal,624.295,-0.725698,-8.18131
1,Normal,624.335,-0.723971,-7.17735
1,Normal,624.375,-0.721276,-6.21437
1,Normal,624.415,-0.717297,-5.31099
1,Normal,624.455,-0.713428,-4.80957
1,Normal,624.495,-0.711528,-4.68955
1,Normal,624.535,-0.712751,-4.67674
1,Normal,624.575,-0.715237,-4.74221
1,Normal,624.615,-0.714111,-5.1145
1,Normal,625.655,1.20987,-12.2776
1,Normal,625.695,1.20539,-15.8093
1,Normal,625.735,1.20125,-18.4999
1,Normal,625.775,1.19809,-18.3671
1,Normal,625.815,1.19869,-15.8013
1,Normal,625.855,1.20725,-12.9469
1,Normal,625.975,1.24776,-13.7523
1,Normal,627.695,-0.858884,-0.693951
1,Normal,627.735,-0.866886,0.0507608
1,Normal,627.775,-0.872477,-0.145311
1,Normal,627.815,-0.87159,-1.80792
1,Normal,627.855,-0.866002,-3.91829
1,Normal,628.055,-0.792768,-6.3581
1,Normal,628.095,-0.785192,-5.87598
1,Normal,628.135,-0.784409,-5.64158
1,Normal,628.175,-0.787602,-5.3083
1,Normal,628.215,-0.792046,-5.08969
1,Normal,628.255,-0.797681,-5.11787
1,Normal,628.295,-0.805439,-4.95961
1,Normal,628.335,-0.813806,-4.41562
1,Normal,628.375,-0.821435,-3.74209
1,Normal,628.415,-0.828037,-2.9985
1,Normal,628.455,-0.829745,-2.54262
1,Normal,628.495,-0.826383,-2.53486
1,Normal,628.535,-0.819866,-2.82941
1,Normal,628.575,-0.812301,-3.14827
1,Normal,628.615,-0.808627,-3.17962
1,Normal,628.655,-0.812627,-2.68548
1,Normal,628.815,-0.872288,-1.94683
1,Normal,628.855,-0.875971,-3.32556
1,Normal,629.855,1.06497,-8.72009
1,Normal,629.895,1.06975,-6.08605
1,Normal,630.095,0.997324,-3.86491
1,Normal,633.375,-0.363771,-17.8526
1,Normal,633.415,-0.364678,-15.7878
1,Normal,634.855,-0.78648,-1.18348
1,Normal,634.895,-0.782629,-2.60032
1,Normal,635.135,-0.691068,-4.77912
1,Normal,635.175,-0.687364,-3.03632
1,Normal,635.215,-0.685658,-1.72371
1,Normal,635.255,-0.685935,-1.31451
1,Normal,635.295,-0.688366,-1.78447
1,Normal,635.335,-0.692072,-2.95477
1,Normal,635.375,-0.699841,-4.32882
1,Normal,635.695,-0.852885,-1.53982
1,Normal,635.735,-0.860215,-1.82839
1,Normal,635.775,-0.864118,-1.66907
1,Normal,635.815,-0.865814,-1.45731
1,Normal,635.855,-0.864021,-1.48849
1,Normal,635.895,-0.860496,-1.86258
1,Normal,635.935,-0.854996,-2.76518
1,Normal,635.975,-0.84457,-3.90647
1,Normal,636.855,0.8298,-1.68667
1,Normal,637.095,0.93655,0.6047
