t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
1420.68,0.00292969,0.00195312,0.999512,0,0,0,0
1420.69,0.00146484,0,1.00146,0,0,0,0
1420.7,-9.765625e-04,0.0170898,1.00732,0,0,0,0
1420.71,0.0078125,-0.00976562,0.998535,0,0,0,0
1420.72,0.0136719,0.0131836,0.992188,0,0,0,0
1420.73,0.00439453,-0.00927734,0.996582,0,0,0,0
1420.74,0.00341797,-0.00439453,0.998047,0,0,0,0
1420.75,0.00195312,0.0112305,1.00391,0,0,0,0
1420.76,0.00585938,-0.00292969,1.00098,0,0,0,0
1420.77,0.00634766,0.0185547,1.00293,0,0,0,0
1420.78,0.00878906,-0.00927734,0.999023,0,0,0,0
1420.79,0.0107422,4.882812e-04,0.993652,0,0,0,0
1420.8,0,-9.765625e-04,0.999023,0,0,0,0
1420.81,4.882812e-04,-0.00341797,1.00244,0,0,0,0
1420.81,0.00390625,0.0170898,1.00732,0,0,0,0
1420.82,0.00830078,0,0.998047,0,0,0,0
1420.83,0.0078125,0.0078125,0.997559,0,0,0,0
1420.84,0.00244141,-0.0170898,1.00049,0,0,0,0
1420.85,9.765625e-04,0.00439453,0.996094,0,0,0,0
1420.86,-4.882812e-04,0.00585938,1.00244,0,0,0,0
1420.87,0.00341797,-0.00292969,1.00049,0,0,0,0
1420.88,0.00683594,0.015625,0.998047,0,0,0,0
1420.89,0.00732422,-0.0180664,0.998047,0,0,0,0
1420.9,0.00439453,0.00830078,0.995605,0,0,0,0
1420.91,-0.00439453,-0.00927734,1.00146,0,0,0,0
1420.92,0.00195312,9.765625e-04,0.999512,0,0,0,0
1420.93,0.00537109,0.0146484,0.995605,0,0,0,0
1420.94,0.00683594,-0.0146484,0.999512,0,0,0,0
1420.95,0.00585938,0.0146484,1,0,0,0,0
1420.96,0.00292969,-0.0112305,0.997559,0,0,0,0
1420.97,0,0.00390625,0.994629,0,0,0,0
1420.98,-0.00292969,0.00537109,1.0083,0,0,0,0
1420.99,0.00585938,-0.0102539,1.00098,0,0,0,0
1421,0.0078125,0.0239258,0.99707,0,0,0,0
1421.01,0.00585938,-0.0166016,0.998047,0,0,0,0
1421.02,0.0078125,9.765625e-04,0.993652,0,0,0,0
1421.03,0.00390625,-4.882812e-04,1.00049,0,0,0,0
1421.04,0.00244141,-0.00439453,1.00195,0,0,0,0
1421.05,0.00439453,0.019043,1.00732,0,0,0,0
1421.06,0.00878906,-0.00390625,1.00293,0,0,0,0
1421.07,0.0102539,0.00878906,0.991699,0,0,0,0
1421.08,0.00341797,-0.0146484,0.998535,0,0,0,0
1421.09,0.00439453,0,1.00098,0,0,0,0
1421.1,0.00292969,0.00927734,1.00488,0,0,0,0
1421.1,0.00585938,0,1.00293,0,0,0,0
1421.11,0.00537109,0.0151367,1.00244,0,0,0,0
1421.12,0.0078125,-0.0141602,1,0,0,0,0
1421.13,0.00927734,0.00634766,0.992188,0,0,0,0
1421.14,0.00341797,-0.00341797,0.996582,0,0,0,0
1421.15,0.00244141,-0.00341797,1.00293,0,0,0,0
1421.16,0.00146484,0.0126953,1.00195,0,0,0,0
1421.17,0.00341797,-0.00390625,0.999512,0,0,0,0
1421.18,0.00634766,0.012207,1,0,0,0,0
1421.19,0.00244141,-0.0112305,0.996582,0,0,0,0
1421.2,0.00488281,0.00292969,0.994629,0,0,0,0
1421.21,0.00195312,-0.00390625,1.00146,0,0,0,0
1421.22,4.882812e-04,4.882812e-04,1.00146,0,0,0,0
1421.23,0.00244141,0.0180664,1.00342,0,0,0,0
1421.24,0.00976562,-0.0131836,0.99707,0,0,0,0
1421.25,0.00732422,0.0131836,0.990723,0,0,0,0
1421.26,0.00390625,-0.0166016,1.00146,0,0,0,0
1421.27,0.00390625,-0.00146484,1.00195,0,0,0,0
1421.28,-4.882812e-04,0.0175781,1.00195,0,0,0,0
1421.29,0.00244141,-0.0102539,0.999023,0,0,0,0
1421.3,0.00585938,0.0151367,0.998047,0,0,0,0
1421.31,0.00390625,-0.0131836,0.99707,0,0,0,0
1421.32,0.00537109,9.765625e-04,0.995605,0,0,0,0
1421.33,-0.00292969,4.882812e-04,1.00635,0,0,0,0
1421.34,4.882812e-04,0,1.00293,0,0,0,0
1421.35,0.00537109,0.0146484,0.999512,0,0,0,0
1421.36,0.00830078,-0.0126953,0.997559,0,0,0,0
1421.37,0.0126953,0.00146484,0.993652,0,0,0,0
1421.38,0.00830078,-0.00927734,0.995605,0,0,0,0
1421.39,0.0078125,0.00537109,1.00049,0,0,0,0
1421.39,0.00195312,0.00732422,1.01367,0,0,0,0
1421.4,0.00976562,0.00146484,1.00293,0,0,0,0
1421.41,0.0136719,0.00390625,0.996582,0,0,0,0
1421.42,0.0107422,-0.00927734,0.999023,0,0,0,0
