t_s,time_local,lat_deg,lon_deg,east_m,north_m,speed_mps,a_long_g,a_lat_g,yaw_rate_dps,a_lat_kin_g,in_gates
2530.56,2026-08-15T15:34:18.000,33.6525772,-117.3018357,57.3507,-27.6937,0.0357632,-0.058,0.004,0,0,0
2530.6,2026-08-15T15:34:18.040,33.6525772,-117.3018357,57.3507,-27.6937,0.0134112,-0.058,0.003,0,0,0
2530.64,2026-08-15T15:34:18.080,33.6525772,-117.3018357,57.3507,-27.6937,0.0357632,-0.058,0.003,0,0,0
2530.68,2026-08-15T15:34:18.120,33.6525772,-117.3018357,57.3507,-27.6937,0.0134112,-0.058,0.003,0,0,0
2530.72,2026-08-15T15:34:18.160,33.6525772,-117.3018357,57.3507,-27.6937,0.022352,-0.058,0.003,0,0,0
2530.76,2026-08-15T15:34:18.200,33.6525772,-117.3018358,57.3414,-27.6937,0.0134112,-0.058,0.003,0,0,0
2530.8,2026-08-15T15:34:18.240,33.6525772,-117.3018358,57.3414,-27.6937,0.022352,-0.059,0.004,0,0,0
2530.84,2026-08-15T15:34:18.280,33.6525772,-117.3018358,57.3414,-27.6937,0.022352,-0.059,0.004,0,0,0
2530.88,2026-08-15T15:34:18.320,33.6525773,-117.3018358,57.3414,-27.6826,0.0312928,-0.059,0.005,0,0,0
2530.92,2026-08-15T15:34:18.360,33.6525772,-117.3018358,57.3414,-27.6937,0.0178816,-0.058,0.005,0,0,0
2530.96,2026-08-15T15:34:18.400,33.6525772,-117.3018358,57.3414,-27.6937,0.0178816,-0.057,0.005,0,0,0
2531,2026-08-15T15:34:18.440,33.6525773,-117.3018358,57.3414,-27.6826,0.0134112,-0.057,0.005,0,0,0
2531.04,2026-08-15T15:34:18.480,33.6525773,-117.3018359,57.3322,-27.6826,0.0178816,-0.057,0.004,0,0,0
2531.08,2026-08-15T15:34:18.520,33.6525773,-117.3018359,57.3322,-27.6826,0.022352,-0.057,0.004,0,0,0
2531.12,2026-08-15T15:34:18.560,33.6525773,-117.3018359,57.3322,-27.6826,0.0491744,-0.057,0.004,-0.01,-8.748779e-07,0
2531.16,2026-08-15T15:34:18.600,33.6525773,-117.3018359,57.3322,-27.6826,0.0089408,-0.058,0.004,-0.01,-1.590687e-07,0
2531.2,2026-08-15T15:34:18.640,33.6525773,-117.3018359,57.3322,-27.6826,0.0268224,-0.058,0.005,-0.01,-4.772061e-07,0
2531.24,2026-08-15T15:34:18.680,33.6525773,-117.3018359,57.3322,-27.6826,0.0178816,-0.059,0.006,0,0,0
2531.28,2026-08-15T15:34:18.720,33.6525773,-117.3018359,57.3322,-27.6826,0.0134112,-0.059,0.006,0,0,0
2531.32,2026-08-15T15:34:18.760,33.6525773,-117.3018360,57.3229,-27.6826,0.0089408,-0.06,0.006,0,0,0
2531.36,2026-08-15T15:34:18.800,33.6525774,-117.3018360,57.3229,-27.6715,0.0312928,-0.06,0.005,0,0,0
2531.4,2026-08-15T15:34:18.840,33.6525775,-117.3018360,57.3229,-27.6604,0.0178816,-0.059,0.005,0,0,0
2531.44,2026-08-15T15:34:18.880,33.6525775,-117.3018360,57.3229,-27.6604,0.0178816,-0.058,0.004,0,0,0
2531.48,2026-08-15T15:34:18.920,33.6525775,-117.3018360,57.3229,-27.6604,0.0089408,-0.057,0.005,0,0,0
2531.52,2026-08-15T15:34:18.960,33.6525775,-117.3018360,57.3229,-27.6604,0.0268224,-0.056,0.005,0,0,0
2531.56,2026-08-15T15:34:19.000,33.6525775,-117.3018361,57.3136,-27.6604,0.0402336,-0.056,0.006,-0.01,-7.158092e-07,0
2531.6,2026-08-15T15:34:19.040,33.6525775,-117.3018361,57.3136,-27.6604,0.022352,-0.057,0.005,-0.01,-3.976718e-07,0
2531.64,2026-08-15T15:34:19.080,33.6525775,-117.3018361,57.3136,-27.6604,0.0312928,-0.058,0.005,-0.01,-5.567405e-07,0
2531.68,2026-08-15T15:34:19.120,33.6525775,-117.3018361,57.3136,-27.6604,0.0134112,-0.059,0.004,-0.01,-2.386031e-07,0
2531.72,2026-08-15T15:34:19.160,33.6525775,-117.3018361,57.3136,-27.6604,0.0178816,-0.06,0.003,-0.02,-6.362748e-07,0
2531.76,2026-08-15T15:34:19.200,33.6525775,-117.3018361,57.3136,-27.6604,0.0089408,-0.059,0.003,-0.02,-3.181374e-07,0
2531.8,2026-08-15T15:34:19.240,33.6525775,-117.3018361,57.3136,-27.6604,0.0089408,-0.058,0.003,-0.02,-3.181374e-07,0
2531.84,2026-08-15T15:34:19.280,33.6525776,-117.3018361,57.3136,-27.6493,0.022352,-0.057,0.004,-0.01,-3.976718e-07,0
2531.88,2026-08-15T15:34:19.320,33.6525776,-117.3018362,57.3044,-27.6493,0.0178816,-0.056,0.005,-0.01,-3.181374e-07,0
2531.92,2026-08-15T15:34:19.360,33.6525776,-117.3018362,57.3044,-27.6493,0.0178816,-0.056,0.005,-0.01,-3.181374e-07,0
2531.96,2026-08-15T15:34:19.400,33.6525776,-117.3018362,57.3044,-27.6493,0.0178816,-0.056,0.006,-0.01,-3.181374e-07,0
2532,2026-08-15T15:34:19.440,33.6525776,-117.3018362,57.3044,-27.6493,0.022352,-0.057,0.005,-0.01,-3.976718e-07,0
2532.04,2026-08-15T15:34:19.480,33.6525776,-117.3018362,57.3044,-27.6493,0.0178816,-0.058,0.005,-0.01,-3.181374e-07,0
2532.08,2026-08-15T15:34:19.520,33.6525776,-117.3018362,57.3044,-27.6493,0.0178816,-0.058,0.004,-0.01,-3.181374e-07,0
2532.12,2026-08-15T15:34:19.560,33.6525776,-117.3018362,57.3044,-27.6493,0.022352,-0.058,0.004,0,0,0
2532.16,2026-08-15T15:34:19.600,33.6525776,-117.3018362,57.3044,-27.6493,0.0044704,-0.058,0.004,-0.01,-7.953435e-08,0
2532.2,2026-08-15T15:34:19.640,33.6525776,-117.3018362,57.3044,-27.6493,0.0089408,-0.057,0.004,-0.01,-1.590687e-07,0
2532.24,2026-08-15T15:34:19.680,33.6525776,-117.3018362,57.3044,-27.6493,0.0312928,-0.057,0.004,-0.01,-5.567405e-07,0
2532.28,2026-08-15T15:34:19.720,33.6525776,-117.3018363,57.2951,-27.6493,0.0089408,-0.056,0.004,-0.01,-1.590687e-07,0
2532.32,2026-08-15T15:34:19.760,33.6525776,-117.3018363,57.2951,-27.6493,0.022352,-0.056,0.004,-0.01,-3.976718e-07,0
2532.36,2026-08-15T15:34:19.800,33.6525776,-117.3018363,57.2951,-27.6493,0.022352,-0.057,0.004,-0.01,-3.976718e-07,0
2532.4,2026-08-15T15:34:19.840,33.6525776,-117.3018363,57.2951,-27.6493,0.0178816,-0.058,0.005,-0.01,-3.181374e-07,0
2532.44,2026-08-15T15:34:19.880,33.6525777,-117.3018363,57.2951,-27.6381,0.0089408,-0.058,0.006,0,0,0
2532.48,2026-08-15T15:34:19.920,33.6525777,-117.3018363,57.2951,-27.6381,0.0178816,-0.058,0.006,0,0,0
2532.52,2026-08-15T15:34:19.960,33.6525776,-117.3018363,57.2951,-27.6493,0.0357632,-0.055,0.006,0,0,0
2532.56,2026-08-15T15:34:20.000,33.6525777,-117.3018363,57.2951,-27.6381,0.0178816,-0.042,0.004,0.01,3.181374e-07,0
2532.6,2026-08-15T15:34:20.040,33.6525777,-117.3018363,57.2951,-27.6381,0.0044704,-0.019,0.002,0.04,3.181374e-07,0
2532.64,2026-08-15T15:34:20.080,33.6525777,-117.3018363,57.2951,-27.6381,0.0357632,0.044,0,0.08,5.090198e-06,0
2532.68,2026-08-15T15:34:20.120,33.6525776,-117.3018364,57.2859,-27.6493,0.169875,0.146,0,0.14,4.231228e-05,0
2532.72,2026-08-15T15:34:20.160,33.6525774,-117.3018365,57.2766,-27.6715,0.420218,0.283,0.001,0.17,1.270959e-04,0
2532.76,2026-08-15T15:34:20.200,33.6525772,-117.3018367,57.2581,-27.6937,0.724205,0.446,0.003,0.15,1.932685e-04,0
2532.8,2026-08-15T15:34:20.240,33.6525767,-117.3018370,57.2303,-27.7493,1.12654,0.612,0.003,0.04,8.017063e-05,0
2532.84,2026-08-15T15:34:20.280,33.6525761,-117.3018375,57.1841,-27.8161,1.54676,0.756,0,-0.17,-4.678211e-04,0
2532.88,2026-08-15T15:34:20.320,33.6525754,-117.3018380,57.1378,-27.8939,1.9938,0.86,-0.01,-0.43,-0.00152531,0
2532.92,2026-08-15T15:34:20.360,33.6525745,-117.3018386,57.0822,-27.994,2.33802,0.922,-0.021,-0.68,-0.00282856,0
2532.96,2026-08-15T15:34:20.400,33.6525736,-117.3018394,57.0082,-28.094,2.65095,0.936,-0.032,-0.91,-0.00429191,0
2533,2026-08-15T15:34:20.440,33.6525726,-117.3018401,56.9434,-28.2052,2.98623,0.926,-0.036,-1.16,-0.00616296,0
2533.04,2026-08-15T15:34:20.480,33.6525715,-117.3018409,56.8694,-28.3276,3.32598,0.9,-0.034,-1.49,-0.00881686,0
2533.08,2026-08-15T15:34:20.520,33.6525703,-117.3018418,56.7861,-28.461,3.62102,0.875,-0.034,-2.08,-0.0133999,0
2533.12,2026-08-15T15:34:20.560,33.6525690,-117.3018428,56.6935,-28.6055,3.95183,0.853,-0.04,-2.92,-0.02053,0
2533.16,2026-08-15T15:34:20.600,33.6525676,-117.3018439,56.5917,-28.7612,4.32288,0.838,-0.054,-3.97,-0.0305332,0
2533.2,2026-08-15T15:34:20.640,33.6525660,-117.3018450,56.4899,-28.9391,4.65816,0.822,-0.074,-5.18,-0.0429291,0
2533.24,2026-08-15T15:34:20.680,33.6525645,-117.3018464,56.3603,-29.1059,5.01579,0.805,-0.101,-6.53,-0.0582721,0
2533.28,2026-08-15T15:34:20.720,33.6525628,-117.3018478,56.2307,-29.2949,5.32872,0.788,-0.131,-7.84,-0.0743271,0
2533.32,2026-08-15T15:34:20.760,33.6525610,-117.3018492,56.1011,-29.4951,5.588,0.777,-0.165,-9.09,-0.0903709,0
2533.36,2026-08-15T15:34:20.800,33.6525592,-117.3018509,55.9438,-29.6952,5.9054,0.773,-0.192,-10.27,-0.107902,0
2533.4,2026-08-15T15:34:20.840,33.6525573,-117.3018525,55.7957,-29.9065,6.25409,0.774,-0.21,-11.32,-0.125956,0
2533.44,2026-08-15T15:34:20.880,33.6525554,-117.3018543,55.6291,-30.1178,6.57596,0.779,-0.216,-12.24,-0.143202,0
2533.48,2026-08-15T15:34:20.920,33.6525533,-117.3018562,55.4532,-30.3513,6.89783,0.78,-0.217,-13.11,-0.160888,0
2533.52,2026-08-15T15:34:20.960,33.6525512,-117.3018583,55.2588,-30.5848,7.16158,0.777,-0.212,-14.11,-0.179781,0
