t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2530.54,0.0126953,-0.0180664,0.993164,0,0,0,0
2530.55,0.012207,-0.00292969,0.995117,0,0,0,0
2530.56,-0.00195312,0.0117188,1.00439,0,0,0,0
2530.57,-0.00292969,4.882812e-04,1.0083,0,0,0,0
2530.58,0.00390625,0.0126953,1.00537,0,0,0,0
2530.59,0.0151367,-0.0136719,0.993164,0,0,0,0
2530.6,0.0141602,4.882812e-04,0.994141,0,0,0,0
2530.61,0.00292969,-0.00488281,0.995117,0,0,0,0
2530.62,9.765625e-04,9.765625e-04,0.998535,0,0,0,0
2530.63,-0.00292969,0.0175781,1.01367,0,0,0,0
2530.64,0.00732422,-0.00732422,1.00342,0,0,0,0
2530.65,0.015625,0.00878906,0.993164,0,0,0,0
2530.66,0.0107422,-0.0126953,0.996094,0,0,0,0
2530.67,0.00830078,-0.00585938,0.992676,0,0,0,0
2530.68,-0.00244141,0.00830078,1,0,0,0,0
2530.69,0.00146484,-4.882812e-04,1.00732,0,0,0,0
2530.7,0.0102539,0.0141602,1.00635,0,0,0,0
2530.71,0.0141602,-0.00732422,0.992676,0,0,0,0
2530.72,0.0126953,-0.00341797,0.991699,0,0,0,0
2530.73,0.00292969,-0.0078125,1.00098,0,0,0,0
2530.74,-9.765625e-04,0.00683594,1.00244,0,0,0,0
2530.74,-0.00390625,0.0170898,1.00928,0,0,0,0
2530.75,0.00634766,-0.00634766,1.00391,0,0,0,0
2530.76,0.0151367,0.00439453,0.990234,0,0,0,0
2530.77,0.0112305,-0.0161133,0.994629,0,0,0,0
2530.78,0.0078125,0.00244141,0.99707,0,0,0,0
2530.79,-0.00244141,0.00976562,1.00635,0,0,0,0
2530.8,0,0.00439453,1.0083,0,0,0,0
2530.81,0.00927734,0.00927734,0.999023,0,0,0,0
2530.82,0.0141602,-0.0180664,0.991699,0,0,0,0
2530.83,0.015625,0.00292969,0.992188,0,0,0,0
2530.84,0.00341797,-0.00390625,1.00293,0,0,0,0
