t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
1859.77,0.00732422,-0.015625,0.992188,0,0,0,0
1859.78,0.00732422,0,0.99707,0,0,0,0
1859.79,0,0.0146484,1.00732,0,0,0,0
1859.8,0.00341797,-0.00390625,1.00488,0,0,0,0
1859.81,0.00488281,0.00683594,1.00146,0,0,0,0
1859.82,0.00732422,-0.0131836,0.999023,0,0,0,0
1859.83,0.0131836,0.00146484,0.992676,0,0,0,0
1859.84,0.00537109,-0.00341797,0.991699,0,0,0,0
1859.85,-4.882812e-04,-0.00146484,1.00195,0,0,0,0
1859.86,-9.765625e-04,0.0078125,1.0083,0,0,0,0
1859.87,0.00585938,-0.00244141,1.00195,0,0,0,0
1859.88,0.0078125,0.00976562,1,0,0,0,0
1859.89,0.00585938,-0.0141602,0.99707,0,0,0,0
1859.9,0.00683594,0.00537109,0.990723,0,0,0,0
1859.91,-0.00146484,0,1.00244,0,0,0,0
1859.91,9.765625e-04,-0.00488281,1.00879,0,0,0,0
1859.92,0.00732422,0.0170898,1.00439,0,0,0,0
1859.93,0.0112305,-0.00878906,0.996094,0,0,0,0
1859.94,0.012207,0,0.993652,0,0,0,0
1859.95,0.00537109,-0.00976562,0.995605,0,0,0,0
1859.96,0.00439453,0.00390625,1.00146,0,0,0,0
1859.97,9.765625e-04,0.012207,1.00635,0,0,0,0
1859.98,0.00390625,-0.00732422,1.00195,0,0,0,0
1859.99,0.00585938,0.00878906,1,0,0,0,0
1860,0.00927734,-0.0136719,0.998535,0,0,0,0
1860.01,0.0102539,0.00439453,0.992188,0,0,0,0
1860.02,4.882812e-04,0.00146484,1.00537,0,0,0,0
1860.03,0,-0.00292969,1.00635,0,0,0,0
1860.04,9.765625e-04,0.0151367,0.998535,0,0,0,0
1860.05,0.0078125,-0.0141602,0.998047,0,0,0,0
1860.06,0.0136719,0.00341797,0.997559,0,0,0,0
1860.07,0.0078125,-0.00244141,0.994141,0,0,0,0
1860.08,0.00488281,-4.882812e-04,0.998535,0,0,0,0
1860.09,-0.00390625,0.00537109,1.0083,0,0,0,0
1860.1,4.882812e-04,-4.882812e-04,1.00244,0,0,0,0
1860.11,0.0078125,0.0136719,0.998047,0,0,0,0
1860.12,0.0102539,-0.0136719,0.995605,0,0,0,0
1860.13,0.00927734,-9.765625e-04,0.990723,0,0,0,0
1860.14,0.00292969,0,1.00293,0,0,0,0
1860.15,4.882812e-04,0.00146484,1.00391,0,0,0,0
1860.16,-4.882812e-04,0.0131836,1.00684,0,0,0,0
1860.17,0.00488281,-0.0078125,1.00049,0,0,0,0
1860.18,0.0131836,0.00390625,0.992188,0,0,0,0
1860.19,0.00830078,-0.0131836,0.992676,0,0,0,0
1860.2,0.00830078,-4.882812e-04,0.996582,0,0,0,0
1860.2,-4.882812e-04,0.0078125,1.00879,0,0,0,0
1860.21,0.00244141,0.00390625,1.00244,0,0,0,0
1860.22,0.00537109,0.00585938,0.999512,0,0,0,0
1860.23,0.00878906,-0.0170898,0.999512,0,0,0,0
1860.24,0.0107422,0.00927734,0.992188,0,0,0,0
1860.25,0.00146484,-0.00488281,0.996582,0,0,0,0
1860.26,-4.882812e-04,-4.882812e-04,1.00293,0,0,0,0
1860.27,-0.00244141,0.0166016,1.00684,0,0,0,0
1860.28,0.00830078,-0.00732422,1.00244,0,0,0,0
1860.29,0.012207,0.00732422,0.998535,0,0,0,0
1860.3,0.00683594,-0.012207,0.995605,0,0,0,0
1860.31,0.00830078,0,0.993652,0,0,0,0
1860.32,4.882812e-04,0.00390625,1.00098,0,0,0,0
1860.33,0.00341797,-0.00341797,1.00439,0,0,0,0
1860.34,0.0078125,0.0136719,1.00146,0,0,0,0
1860.35,0.0117188,-0.012207,0.995605,0,0,0,0
1860.36,0.0117188,0.00439453,0.990723,0,0,0,0
1860.37,0.00146484,-0.00732422,1.00293,0,0,0,0
1860.38,0,0.00195312,1.00146,0,0,0,0
1860.39,4.882812e-04,0.0180664,1.00391,0,0,0,0
1860.4,0.00732422,-0.0141602,1.00244,0,0,0,0
1860.41,0.0107422,0.00732422,0.994629,0,0,0,0
1860.42,0.00585938,-0.00878906,0.997559,0,0,0,0
1860.43,0.00732422,-9.765625e-04,0.99707,0,0,0,0
1860.44,-0.00195312,0.0112305,1.00439,0,0,0,0
1860.45,0,-0.00292969,1.00635,0,0,0,0
